date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
01-06-2023,Arunachal Pradesh,4,0,1089
01-06-2023,Ladakh,4,0,304
01-06-2023,Manipur,4,0,220
01-06-2023,Mizoram,4,0,383
01-06-2023,Nagaland,2,0,650
01-06-2023,Nagaland,4,0,620
01-07-2023,Andaman & Nicobar Island,2,0,424
01-07-2023,Arunachal Pradesh,2,0,1315
01-07-2023,Ladakh,4,0,301
01-07-2023,Mizoram,4,0,439
01-08-2023,Andaman & Nicobar Island,2,0,477
01-08-2023,Arunachal Pradesh,2,0,1292
01-08-2023,Ladakh,2,0,63
01-08-2023,Ladakh,4,0,278
01-08-2023,Mizoram,4,0,410
01-08-2023,Nagaland,2,0,592
01-08-2023,Nagaland,4,0,760
01-09-2023,Andaman & Nicobar Island,2,0,379
01-09-2023,Arunachal Pradesh,2,0,1274
01-09-2023,Ladakh,2,0,40
01-09-2023,Ladakh,4,0,211
01-09-2023,Manipur,2,0,426
01-09-2023,Manipur,4,0,239
01-09-2023,Mizoram,4,0,415
01-09-2023,Nagaland,4,0,654
01-10-2023,Arunachal Pradesh,2,0,1281
01-10-2023,Ladakh,2,0,33
01-10-2023,Ladakh,4,0,187
01-10-2023,Mizoram,4,0,453
01-10-2023,Nagaland,2,0,471
01-10-2023,Nagaland,4,0,743
01-11-2023,Arunachal Pradesh,2,0,1458
01-11-2023,Ladakh,2,0,39
01-11-2023,Ladakh,4,0,166
01-11-2023,Mizoram,4,0,531
01-12-2023,Ladakh,2,0,7
01-12-2023,Ladakh,4,0,144
01-12-2023,Mizoram,4,0,568
01-12-2023,Nagaland,2,0,421
01-12-2023,Nagaland,4,0,562
01-01-2024,Arunachal Pradesh,2,0,995
01-01-2024,Nagaland,2,0,505
01-01-2024,Ladakh,4,0,141
01-01-2024,Andaman & Nicobar,4,0,177
01-01-2024,Nagaland,4,0,877
01-02-2024,Arunachal Pradesh,2,0,1117
01-02-2024,Nagaland,2,0,763
01-02-2024,Ladakh,2,0,4
01-02-2024,Mizoram,4,0,494
01-02-2024,Ladakh,4,0,47
01-03-2024,Arunachal Pradesh,2,0,1259
01-03-2024,Ladakh,2,0,11
01-03-2024,Mizoram,4,0,463
01-03-2024,Nagaland,4,0,1336
